channel_key,channel_name
600,Email
601,Website
602,Facebook
603,Twitter
604,Instagram
605,YouTube
606,Newsletter
607,Press Release
608,Public Meeting
609,Community Forum
610,City Council Meeting
611,Public Hearing
612,Workshop
613,Seminar
614,Webinar
615,Podcast
616,Radio
617,Television
618,Newspaper
619,Magazine
620,Billboard
621,Bus Stop Sign
622,Transit Display
623,Community Center
624,Library
625,Senior Center
626,Youth Center
627,Recreation Center
628,Parks
629,Public Buildings
630,Government Offices
631,Public Safety Stations
632,Fire Stations
633,Police Stations
634,Emergency Services
635,Public Health Centers
636,Environmental Centers
637,Recycling Centers
638,Waste Management
639,Water Treatment
640,Public Works
641,Transportation Hubs
642,Bus Stations
643,Train Stations
644,Airports
645,Ports
646,Public Spaces
647,Squares
648,Plazas
649,Parks
650,Trails
651,Recreation Areas
652,Sports Facilities
653,Community Gardens
654,Public Art
655,Monuments
656,Memorials
657,Historic Sites
658,Cultural Centers
659,Museums
660,Libraries
661,Theaters
662,Concert Halls
663,Convention Centers
664,Exhibition Halls
665,Conference Rooms
666,Meeting Rooms
667,Training Rooms
668,Computer Labs
669,Media Centers
670,Recording Studios
671,Broadcasting Studios
672,Production Studios
673,Editing Suites
674,Control Rooms
675,Master Control
676,Transmission
677,Distribution
678,Reception
679,Antenna
680,Satellite
681,Cable
682,Fiber
683,Wireless
684,Mobile
685,Tablet
686,Desktop
687,Laptop
688,Smartphone
689,Smart Watch
690,Smart TV
691,Smart Speaker
692,Smart Home
693,Smart City
694,Smart Grid
695,Smart Transportation
696,Smart Infrastructure
697,Smart Environment
698,Smart Health
699,Smart Education
700,Smart Government
